notebook_execution_id,repository_run_id,repository_id,notebook_id,notebook_name,repository_url,execution_status,error_type,error_category,error_message,error_cell_index,error_count,failing_module,subtype,scope_status,exclusion_reason,split,created_at
8,7,14,27,Analysis/Similarity Processes/mesure_similarity.ipynb,https://github.com/mdjaffardjy/AnalyseDonneesNextflow,SUCCESS_WITH_ERRORS,ModuleNotFoundError,DEPENDENCY_ERROR,No module named 'sklearn',5,1,sklearn,missing_package,usable,,dev,2026-02-16 00:30:23
10,7,14,29,Analysis/Distribution DSL1 DSL2/distribution.ipynb,https://github.com/mdjaffardjy/AnalyseDonneesNextflow,SUCCESS_WITH_ERRORS,ImportError,DEPENDENCY_ERROR,"matplotlib is required for plotting when the default backend ""matplotlib"" is selected.",13,5,matplotlib,missing_package,usable,,dev,2026-02-16 00:30:27
15,9,16,35,examples/gpax_viDKL_plasmons.ipynb,https://github.com/ziatdinovmax/gpax,SUCCESS_WITH_ERRORS,ImportError,DEPENDENCY_ERROR,libxcb.so.1: cannot open shared object file: No such file or directory,8,20,libxcb.so.1,system_library,excluded,"requires system library, outside pip-only scope",excluded,2026-02-16 01:21:49
17,9,16,37,examples/simpleGP.ipynb,https://github.com/ziatdinovmax/gpax,SUCCESS_WITH_ERRORS,ImportError,DEPENDENCY_ERROR,You need to install `seaborn` to be able to use this feature. It can be installed with `pip install seaborn`.,22,1,seaborn,missing_package,usable,,dev,2026-02-16 01:21:57
19,10,17,39,tutorials/downloading-openstreetmap.ipynb,https://github.com/ai4up/eubucco,SUCCESS_WITH_ERRORS,ModuleNotFoundError,DEPENDENCY_ERROR,No module named 'pyrosm',0,2,pyrosm,missing_package,usable,,dev,2026-02-16 01:23:21
21,10,17,41,tutorials/downloading-parsing-osm.ipynb,https://github.com/ai4up/eubucco,SUCCESS_WITH_ERRORS,ModuleNotFoundError,DEPENDENCY_ERROR,No module named 'pyrosm',1,22,pyrosm,missing_package,usable,,evaluation,2026-02-16 01:23:23
24,10,17,45,database/preprocessing/1-parsing/duplicate-removal/remove_duplicates_abruzzo.ipynb,https://github.com/ai4up/eubucco,SUCCESS_WITH_ERRORS,ModuleNotFoundError,DEPENDENCY_ERROR,No module named 'ufo_map',0,19,ufo_map,missing_package,usable,,evaluation,2026-02-16 01:23:26
25,10,17,46,database/preprocessing/1-parsing/duplicate-removal/remove_duplicates_piemonte.ipynb,https://github.com/ai4up/eubucco,SUCCESS_WITH_ERRORS,ModuleNotFoundError,DEPENDENCY_ERROR,No module named 'ufo_map',0,21,ufo_map,missing_package,usable,,evaluation,2026-02-16 01:23:27
26,12,22,53,examples/output-viz.ipynb,https://github.com/IGGoncalves/PhysiCOOL,SUCCESS_WITH_ERRORS,ModuleNotFoundError,DEPENDENCY_ERROR,No module named 'physicool',1,3,physicool,missing_package,usable,,evaluation,2026-02-16 01:25:16
29,12,22,56,examples/third_party/third_party.ipynb,https://github.com/IGGoncalves/PhysiCOOL,SUCCESS_WITH_ERRORS,ModuleNotFoundError,DEPENDENCY_ERROR,No module named 'physicool',1,2,physicool,missing_package,usable,,evaluation,2026-02-16 01:25:18
30,12,22,57,examples/motility/sweeper.ipynb,https://github.com/IGGoncalves/PhysiCOOL,SUCCESS_WITH_ERRORS,ModuleNotFoundError,DEPENDENCY_ERROR,No module named 'physicool',2,3,physicool,missing_package,usable,,evaluation,2026-02-16 01:25:19
31,12,22,58,examples/motility/black_box.ipynb,https://github.com/IGGoncalves/PhysiCOOL,SUCCESS_WITH_ERRORS,ModuleNotFoundError,DEPENDENCY_ERROR,No module named 'physicool',4,6,physicool,missing_package,usable,,evaluation,2026-02-16 01:25:20
32,12,22,59,docs/xml_update.ipynb,https://github.com/IGGoncalves/PhysiCOOL,SUCCESS_WITH_ERRORS,ModuleNotFoundError,DEPENDENCY_ERROR,No module named 'physicool',1,5,physicool,missing_package,usable,,evaluation,2026-02-16 01:25:21
39,18,31,87,Monkeypox_08_15_22.ipynb,https://github.com/mahsan2/Monkeypox-dataset-2022,SUCCESS_WITH_ERRORS,ModuleNotFoundError,DEPENDENCY_ERROR,No module named 'sklearn',1,13,sklearn,missing_package,usable,,evaluation,2026-02-16 01:45:13
