import_name,pipeline_resolved_distribution,manual_correct_distribution,correct
numpy,numpy,numpy,True
umap,umap-learn,umap-learn,True
pkg_resources,setuptools,standard-pkg-resources,False
sklearn,scikit-learn,scikit-learn,True
pandas,pandas,pandas,True
cv2,opencv-python,opencv-python,True
scipy,scipy,scipy,True
skimage,scikit-image,scikit-image,True
rpy2,,rpy2,False
cana,,cana,False
celloracle,,celloracle,False
keras,,keras,False
omero,,omero-py,False
physicool,,physicool,False
gnomad,,gnomad,False
dms_variants,,dms-variants,False
statsmodels,,statsmodels,False
