notebook_execution_id,split,error_type,error_message,predicted_failing_module,predicted_scope_status,predicted_original_subtype,predicted_subtype,predicted_confidence,manual_scope_status,manual_subtype,manual_failing_module,notes
8,dev,ModuleNotFoundError,No module named 'sklearn',sklearn,usable,missing_package,missing_package,high,usable,missing_package,sklearn,
15,excluded,ImportError,libxcb.so.1: cannot open shared object file: No such file or directory,libxcb.so.1,excluded,system_library,system_library,high,excluded,system_library,libxcb.so.1,
39,evaluation,ModuleNotFoundError,No module named 'sklearn',sklearn,usable,missing_package,missing_package,high,usable,missing_package,sklearn,
49,dev,ModuleNotFoundError,No module named 'sklearn',sklearn,usable,missing_package,missing_package,high,usable,missing_package,sklearn,
50,dev,ModuleNotFoundError,No module named 'dms_variants',dms_variants,usable,missing_package,missing_package,high,usable,missing_package,dms_variants,
55,evaluation,ModuleNotFoundError,No module named 'dms_variants',dms_variants,usable,missing_package,missing_package,high,usable,missing_package,dms_variants,
65,evaluation,ModuleNotFoundError,No module named 'sklearn',sklearn,usable,missing_package,missing_package,high,usable,missing_package,sklearn,
81,excluded,ImportError,libxcb.so.1: cannot open shared object file: No such file or directory,libxcb.so.1,excluded,system_library,system_library,high,excluded,system_library,libxcb.so.1,
84,excluded,ImportError,libxcb.so.1: cannot open shared object file: No such file or directory,libxcb.so.1,excluded,system_library,system_library,high,excluded,system_library,libxcb.so.1,
125,evaluation,ModuleNotFoundError,No module named 'cana',cana,usable,missing_package,missing_package,high,usable,missing_package,cana,
135,evaluation,ModuleNotFoundError,No module named 'pkg_resources',pkg_resources,usable,missing_package,missing_package,high,usable,missing_package,pkg_resources,
146,evaluation,ModuleNotFoundError,No module named 'bokeh.tile_providers',bokeh,usable,missing_package,missing_package,high,usable,wrong_version,bokeh,
149,evaluation,ModuleNotFoundError,No module named 'sklearn',sklearn,usable,missing_package,missing_package,high,usable,missing_package,sklearn,
152,evaluation,ModuleNotFoundError,No module named 'mpl_toolkits.axes_grid',mpl_toolkits,usable,missing_package,missing_package,high,usable,wrong_version,mpl_toolkits,
157,dev,ImportError,cannot import name 'isshape' from 'scipy.sparse.sputils' (/tmp/.local/lib/python3.10/site-packages/scipy/sparse/sputils.py),scipy,usable,wrong_version,wrong_version,high,usable,wrong_version,scipy,
158,evaluation,ImportError,cannot import name 'isshape' from 'scipy.sparse.sputils' (/tmp/.local/lib/python3.10/site-packages/scipy/sparse/sputils.py),scipy,usable,wrong_version,wrong_version,high,usable,wrong_version,scipy,
163,evaluation,ImportError,cannot import name 'isshape' from 'scipy.sparse.sputils' (/tmp/.local/lib/python3.10/site-packages/scipy/sparse/sputils.py),scipy,usable,wrong_version,wrong_version,high,usable,wrong_version,scipy,
174,dev,ImportError,cannot import name 'cumtrapz' from 'scipy.integrate' (/tmp/.local/lib/python3.10/site-packages/scipy/integrate/__init__.py),scipy,usable,wrong_version,wrong_version,high,usable,wrong_version,scipy,
188,dev,ImportError,cannot import name 'VisibleDeprecationWarning' from 'numpy' (/tmp/.local/lib/python3.10/site-packages/numpy/__init__.py),numpy,usable,wrong_version,wrong_version,high,usable,wrong_version,numpy,
189,evaluation,ImportError,cannot import name 'VisibleDeprecationWarning' from 'numpy' (/tmp/.local/lib/python3.10/site-packages/numpy/__init__.py),numpy,usable,wrong_version,wrong_version,high,usable,wrong_version,numpy,
190,evaluation,ImportError,cannot import name 'VisibleDeprecationWarning' from 'numpy' (/tmp/.local/lib/python3.10/site-packages/numpy/__init__.py),numpy,usable,wrong_version,wrong_version,high,usable,wrong_version,numpy,
191,evaluation,ImportError,cannot import name 'VisibleDeprecationWarning' from 'numpy' (/tmp/.local/lib/python3.10/site-packages/numpy/__init__.py),numpy,usable,wrong_version,wrong_version,high,usable,wrong_version,numpy,
193,evaluation,ImportError,cannot import name 'VisibleDeprecationWarning' from 'numpy' (/tmp/.local/lib/python3.10/site-packages/numpy/__init__.py),numpy,usable,wrong_version,wrong_version,high,usable,wrong_version,numpy,
194,evaluation,ImportError,cannot import name 'VisibleDeprecationWarning' from 'numpy' (/tmp/.local/lib/python3.10/site-packages/numpy/__init__.py),numpy,usable,wrong_version,wrong_version,high,usable,wrong_version,numpy,
195,evaluation,ImportError,cannot import name 'VisibleDeprecationWarning' from 'numpy' (/tmp/.local/lib/python3.10/site-packages/numpy/__init__.py),numpy,usable,wrong_version,wrong_version,high,usable,wrong_version,numpy,
197,evaluation,ImportError,cannot import name 'VisibleDeprecationWarning' from 'numpy' (/tmp/.local/lib/python3.10/site-packages/numpy/__init__.py),numpy,usable,wrong_version,wrong_version,high,usable,wrong_version,numpy,
199,evaluation,ImportError,cannot import name 'VisibleDeprecationWarning' from 'numpy' (/tmp/.local/lib/python3.10/site-packages/numpy/__init__.py),numpy,usable,wrong_version,wrong_version,high,usable,wrong_version,numpy,
200,evaluation,ImportError,cannot import name 'VisibleDeprecationWarning' from 'numpy' (/tmp/.local/lib/python3.10/site-packages/numpy/__init__.py),numpy,usable,wrong_version,wrong_version,high,usable,wrong_version,numpy,
201,evaluation,ImportError,cannot import name 'VisibleDeprecationWarning' from 'numpy' (/tmp/.local/lib/python3.10/site-packages/numpy/__init__.py),numpy,usable,wrong_version,wrong_version,high,usable,wrong_version,numpy,
211,evaluation,ModuleNotFoundError,No module named 'gnomad',gnomad,usable,missing_package,missing_package,high,usable,missing_package,gnomad,
244,excluded,ImportError,cannot import name 'dataloader' from 'utils' (/tmp/.local/lib/python3.10/site-packages/utils/__init__.py),utils,excluded,mapping_unknown,mapping_unknown,low,excluded,mapping_unknown,utils,
249,excluded,ModuleNotFoundError,No module named 'utils.image_processor',utils,excluded,mapping_unknown,mapping_unknown,low,excluded,mapping_unknown,utils,
273,excluded,ImportError,libXrender.so.1: cannot open shared object file: No such file or directory,libXrender.so.1,excluded,system_library,system_library,high,excluded,system_library,libXrender.so.1,
274,excluded,ImportError,libXrender.so.1: cannot open shared object file: No such file or directory,libXrender.so.1,excluded,system_library,system_library,high,excluded,system_library,libXrender.so.1,
275,excluded,ImportError,libXrender.so.1: cannot open shared object file: No such file or directory,libXrender.so.1,excluded,system_library,system_library,high,excluded,system_library,libXrender.so.1,
276,excluded,ImportError,libXrender.so.1: cannot open shared object file: No such file or directory,libXrender.so.1,excluded,system_library,system_library,high,excluded,system_library,libXrender.so.1,
277,excluded,ImportError,cannot import name 'NormalDist' from 'statistics' (/tmp/.local/lib/python3.10/site-packages/statistics/__init__.py),statistics,excluded,mapping_unknown,mapping_unknown,low,excluded,mapping_unknown,statistics,
279,excluded,ImportError,cannot import name 'NormalDist' from 'statistics' (/tmp/.local/lib/python3.10/site-packages/statistics/__init__.py),statistics,excluded,mapping_unknown,mapping_unknown,low,excluded,mapping_unknown,statistics,
286,evaluation,ModuleNotFoundError,No module named 'pyLM',pyLM,usable,missing_package,missing_package,high,excluded,mapping_unknown,pyLM,
367,evaluation,ModuleNotFoundError,No module named 'skimage',skimage,usable,missing_package,missing_package,high,usable,missing_package,skimage,
376,evaluation,ModuleNotFoundError,No module named 'idr',idr,usable,missing_package,missing_package,high,excluded,mapping_unknown,idr,
381,excluded,ImportError,libexpat.so.1: cannot open shared object file: No such file or directory,libexpat.so.1,excluded,system_library,system_library,high,excluded,system_library,libexpat.so.1,
383,excluded,ImportError,libexpat.so.1: cannot open shared object file: No such file or directory,libexpat.so.1,excluded,system_library,system_library,high,excluded,system_library,libexpat.so.1,
385,evaluation,ModuleNotFoundError,No module named 'celloracle',celloracle,usable,missing_package,missing_package,high,usable,missing_package,celloracle,
386,evaluation,ModuleNotFoundError,No module named 'celloracle',celloracle,usable,missing_package,missing_package,high,usable,missing_package,celloracle,
394,evaluation,ModuleNotFoundError,No module named 'celloracle',celloracle,usable,missing_package,missing_package,high,usable,missing_package,celloracle,
399,evaluation,ModuleNotFoundError,No module named 'celloracle',celloracle,usable,missing_package,missing_package,high,usable,missing_package,celloracle,
408,excluded,ImportError,libGL.so.1: cannot open shared object file: No such file or directory,libGL.so.1,excluded,system_library,system_library,high,excluded,system_library,libGL.so.1,
445,evaluation,ModuleNotFoundError,No module named 'sklearn',sklearn,usable,missing_package,missing_package,high,usable,missing_package,sklearn,
